Country,Details
Data protection laws in Tonga,"
Data protection laws in Tonga


Based on English common law where not addressed by statute.
Last modified 15 February 2022



"
Data protection laws in Trinidad and Tobago,"
Data protection laws in Trinidad and Tobago


The Data Protection Act, 2011 (DPA) provides for the protection of personal privacy and information processed and collected by public bodies and private organizations.
The DPA was partially enacted on January 6, 2012 by Legal Notice 2 of 2012, and only Part I and sections 7 to 18, 22, 23, 25(1), 26 and 28 of Part II,42(a),(b) of Part III have come into operation, including the processing of personal information under the control of a public body.
No timetable has been set for enacting the remainder of the DPA, and it is possible that there may be changes to the remainder of the legislation before it is proclaimed.
Last modified 26 January 2023



"
Data protection laws in Tunisia,"
Data protection laws in Tunisia


Tunisia has established itself as a regional pioneer in the protection of personal data, initiating pioneering efforts in this field as early as 2002. These initiatives were consolidated by the adoption of law no. 2004-63 of July 27, 2004, which established a legal framework regulating personal data, reinforced by its implementing decrees, in particular:

Decree no. 2007-3003 of November 27, 2007, setting out the operating procedures of the National Authority for Personal Data Protection; and
Decree no. 2007-3004 of November 27, 2007, establishing the conditions and procedures for the declaration and authorization of personal data processing.

This legislative framework was subsequently ratified and strengthened in 2022 by a constitutional consecration of privacy protection. This major step forward elevated this right to a priority among the fundamental freedoms to be guaranteed in the new Tunisian Republic, thus affirming the country's commitment to data protection and privacy as a pillar of human rights.
Tunisia has also modernized its legal arsenal in response to digital challenges. Decree-Law no. 2022-54 of September 13, 2022 introduced strict sanctions against cybercrime, while Decree-Law no. 2023-17 of March 11, 2023 regulated cybersecurity and introduced the notion of “cloud” into Tunisian law for the first time. In particular, the decree imposes mandatory periodic audits on companies carrying out automated data processing.
To accompany these reforms, several ministerial orders published in September 2023 specified the terms of application:

Order of the Minister of Communication Technologies of September 12, 2023, setting out the procedures and mechanisms for classifying organizations subject to a mandatory periodic audit of their information systems;
Order of the Minister of Communication Technologies of September 12, 2023, establishing the technical audit criteria and the methods for following up the recommendations contained in the audit report;
Order of the Minister of Communication Technologies of September 12, 2023, defining the procedures and conditions for granting and withdrawing the “secure” label; and
Order of the Minister of Communication Technologies of September 13, 2023, specifying the procedures and conditions for granting, renewing and withdrawing the “Government Cloud Service Provider (G-cloud)” and “National Cloud Service Provider (N-cloud)” labels.

Additionally, articles 56, 61 and 75 of the Organic Law n°2015-26 of August 7, 2015 on the Fight Against Terrorism and the Prohibition of Money Laundering addresses the subject of personal data and when the use of personal data is permitted.
Tunisia became the 51st Member State of the Council of Europe Convention 108 on November 1, 2017 and its Additional Protocol No.181 on supervisory authorities and transborder data flows.
In March 2018, it introduced a new draft law on the protection of personal data in line with the new European GDPR in Parliament, however the law has not yet been passed.
In Tunisia, there is a whole legal arsenal relating to the processing of personal data.
In addition to the above-mentioned texts, there are also decisions rendered by the Instance such as:

Decision n° 2 of October 6, 2017 on the processing of personal data in the political field;
Decision n° 3 of September 5, 2018 establishing the countries that represent an adequate level of protection of personal data;
Decision n° 4 of September 5, 2018 organizing personal health data;
Decision n° 5 of September 5, 2018 establishing the conditions and procedures for the installation of cameras and video surveillance; and
Decision n°6 of July 2, 2019 concerning control activities carried out by the National Authority for the Protection of Personal Data.

Last modified 27 January 2025



"
Data protection laws in Turkey,"
Data protection laws in Turkey


The main piece of legislation covering data protection in Turkey is the Law on the Protection of Personal Data No. 6698 dated April 7, 2016 (LPPD). The LPPD is primarily based on EU Directive 95/46/EC.
To date, the legislature has enacted several regulations to implement various aspects of the LPPD. The notable ones are mentioned below:

Regulation on the Erasure, Destruction and Anonymizing of Personal Data (published in the Official Gazette dated October 28, 2017, numbered 30224);
Regulation on the Working Procedures and Principles of Personal Data Protection Board (published in the Official Gazette dated November 16, 2017, numbered 30242);
Regulation on the Registry of Data Controllers (published in the Official Gazette dated December 30, 2017, numbered 30286);
Regulation on the Organization of Personal Data Protection Authority (published in the Official Gazette dated April 26, 2018, numbered 30403);
The Communiqué on Procedures and Principles for Compliance with the Obligation to Inform (published in the Official Gazette dated March 10, 2018, numbered 30356);
The Communiqué On The Principles And Procedures For The Request To Data Controller (published in the Official Gazette dated March 10, 2018, numbered 30356);
The Decision of Data Protection Board, dated January 31, 2018, numbered 2018/10 on Adequate Measures to be taken by Data Controllers in Processing the Special Categories of Personal Data;
Regulation on the Procedures and Principles on the Cross Border Personal Data Transfers (published on the Official Gazette dated July 10, 2024, numbered 32598).

Certain general laws such as the Turkish Criminal Code no. 5237 and sector specific laws such as Electronic Communications Law No. 5809 also touch upon data protection and are mentioned below when relevant.
Last modified 27 January 2025



"
Data protection laws in Turkmenistan,"
Data protection laws in Turkmenistan


The Law of Turkmenistan No.519-V ‘On Information about Private Life and its Protection’ (the ‘Data Protection Law’) is the main and only law governing matters relating to collection and processing of personal data in Turkmenistan. 
The Data Protection Law was enacted on 20 March 2017, ie after the adoption of the General Data Protection Regulation (the ‘GDPR’) and entered into force on 1 July 2017. In fact, the Data Protection Law partly reflects the rules and principles perpetuated in the GDPR. However, the similarities that can be discovered between the Data Protection Law and the GDPR are few and in most cases the Data Protection Law implements the simplified approach suggested by the GDPR.
Last modified 23 December 2022



"
Data protection laws in UAE - Abu Dhabi Global Market Free Zone,"
Data protection laws in UAE - Abu Dhabi Global Market Free Zone



Note: Please also see UAE – General, UAE – DIFC, UAE – DHCC.

The Abu Dhabi Global Market (""ADGM"") is a financial freezone in Abu Dhabi emirate. The ADGM has powers to issue laws regarding its governance. On 14 February 2021 the ADGM issued the ADGM Data Protection Regulations 2021 (""DPR"").
An important feature of the new framework is the establishment of an independent Office of Data Protection, headed by a Commissioner of Data Protection.
In order to assist businesses in understanding the requirements DPR, and how those should be applied to their activities, in August 2021 the Office of Data Protection issued a suite of eight guidance documents which cover the following topics:

General overview;
Data subject rights
Data protection by design and default, fees, record of Processing activities (“ROPA”), data protection officers (“DPOs”) and Processor obligations;
Data protection impact assessments (“DPIAs”);
Security of Processing and data breaches;
International transfers;
Codes of conduct and the role of the Commissioner of Data Protection and the Office of Data Protection; and
Individual Rights and Remedies.

Last modified 9 January 2024



"
Data protection laws in UAE - Dubai (DIFC),"
Data protection laws in UAE - Dubai (DIFC)



Note: Please also see UAE – General, UAE – ADGM, UAE – DHCC.

The Dubai International Financial Centre (“DIFC”) is a financial freezone in Dubai emirate. The DIFC has powers to issue laws regarding its governance. The DIFC Law No. 5 of 2020 on Data Protection Law (“DPL”) came into effect in July 2020.
In addition, alongside the DPL a new set of accompanying Data Protection Regulations (“DPRs”) were introduced. These were updated in 2023 to include regulations on processing via artificial intelligence systems.
Last modified 27 January 2025



"
Data protection laws in UAE - Dubai Health Care City Free Zone,"
Data protection laws in UAE - Dubai Health Care City Free Zone



Note: Please also see UAE – General, UAE – DIFC, UAE – ADGM.

The Dubai Healthcare City (""DHCC""), a healthcare free zone in Dubai, implemented DHCC Health Data Protection Regulation No 7 of 2013  (which repealed and replaces the DHCC Data Protection regulation No. 7 of 2008) (""HDPR"").
The HDPR regulates the protection of Patient Health Information, as opposed 'personal data'.
Note that as opposed to the ICT Health Law, which applies to entities across the UAE, including within freezones such as the DHCC (please see UAE – General), the DHCC HDPR only applies to those entities licensed within the DHCC and to patient information generated and stored therein.
In addition to the HDPR, the DHCC has also issued certain guidelines and standards, some of which have implications from a personal data protection standpoint, such as the DHCR Telehealth Standard (2017).
While the DHCC continues to have the HDPR available upon its website, the DHCC website also notes that “All healthcare regulations in the Dubai Healthcare City free zone are managed by Dubai Health Authority. Please click here[1] for more information on all healthcare regulations related-matters”. 
Therefore, the actual application of the DHCC HDPR may still be subject to the interpretation and application of the Dubai Health Authority (“DHA”), including the application of the DHA’s own Policy for Health Data Protection and Confidentiality 2022.

Footnotes
1: See https://dhcc.ae/regulations/health-care-regulation

Last modified 27 January 2025



"
Data protection laws in UAE - General,"
Data protection laws in UAE - General



Note: Please also see UAE – Dubai (DIFC), UAE – ADGM, UAE – DHCC.

Generally
As part of the 50th anniversary of its founding, the United Arab Emirates (“UAE”) has issued a set of sweeping legal reforms, including the much anticipated Federal Decree-Law No. 45 of 2021 on the Protection of Personal Data Protection (“PDPL”), which was issued on 26 September 2021.
The executive regulations to the PDPL (“Executive Regulations”) were due to be published within six months of the issuance of the PDPL. However as of 6 January 2025, those have not yet been published. Once the Executive Regulations are issued, organisations have a further six months from their date of the issuance in which they can adjust operations to compliance with the PDPL.
Reassuringly, the PDPL does not contain any major divergences from other well-known data protection regimes, including the GDPR. In this regard we expect it will be welcomed by local, regional and international businesses, in particular those that rely heavily upon personal data and international personal data flows. International businesses with global privacy compliance programs should seek to expand those to cover the UAE and achieve some synergies. However, businesses that are not used to compliance with laws like the GDPR may find some of the new obligations challenging; for example, the PDPL introduces rights for individuals to access, rectify, correct, delete, restrict processing, request cessation of processing or transfer of data, and object to automated processing. There are also new requirements around transfers of data outside of the UAE and requirements to keep data secure, and to notify the new data protection regulator, and in some circumstances Data Subjects, of data breaches. The requirements regarding keeping data secure, and new data breach obligations, will definitely up the ante for businesses in the UAE to take cyber security seriously.
Territorial scope
The PDPL applies to:

processing of personal data of people residing in the UAE, or people having a business within the UAE;
each Controller or Processor inside the UAE, irrespective of whether the personal data they process is of individuals inside or outside the UAE
each Controller or Processor located outside the UAE, who carries out processing activities of Data Subjects that are inside the UAE.

Other data protection and privacy laws in the UAE
The PDPL keeps intact existing data protection and privacy laws within the UAE’s financial free zones, DIFC and ADGM, as well as the rules of the Dubai Health Care City, (links to our summaries are above) as well as applicable onshore laws regulating health data and banking and credit data.  For this reason the data protection landscape in the UAE (and the wider GCC region) remains complex to navigate and somewhat fragmented, meaning that the application of the PDPL will need to be considered carefully.
There are several UAE federal level laws that contain various provisions in relation to privacy and the protection of personal data:

United Arab Emirates Constitution of 1971;
Federal Law 31 of 2021, on the Issuance of the Crimes and Penalties Law (“UAE Criminal Law”);
Federal Decree Law No. 34 of 2021 on Combatting Rumors and Cybercrimes (“UAE Cyber Crime Law”);
Federal Law by Decree No. 3 of 2003 as amended) On Organising the Telecommunications Sector (“UAE Telecommunications Law”) including several implementing regulations / policies enacted by the Telecommunications and Digital Government Regulatory Authority ('TDRA') in respect of data protection of telecoms consumers in the UAE.

There are also some federal level sectoral regulations in banking and finance, and in health, which should be considered.

The Central Bank Law (Federal Law No. 14 of 2018); Central Bank’s Consumer Protection Regulation issued under Central Bank Notice No. 444 of 2021, and related Central Bank Consumer Protection Standards issued under Notice No. 1158 of 2021 on Consumer Protection Standards

Article 120 of the Central Bank Law requires that all data and information related to customers should be considered confidential in nature.  
On 31 December 2020 the UAE Central Bank published its Consumer Protection Regulation. It applies to all Central Bank Licensed Financial Institutions, which had one year in which to ensure their compliance.
Article 6 of the Consumer Protection Regulation requires that Licensed Financial Institutions must collect the minimal amount of Consumer Data and information needed in respect of their licensed activities and remain in compliance with all other related laws and treat Consumers' information relationships and business affairs as private and confidential.
The Central Bank Consumer Protection Standards outline detailed requirements regarding how Licensed Financial Institutions must comply with.  These standards include Licensed Financial Institutions:

having a proper Data Management Control Framework;
using secure digital transaction processing and controls;
designating responsibility and accountability for the data management and protection function to a senior position in management who reports directly to senior management;
ensuring personal data is:

collected for a lawful urpose directly related to the Licensed Financial Activities of the Licensed Financial Institution;
adequate and not excessive in relation to the stated purpose; and
collected with appropriate security and protection measures against unauthorized or unlawful processing and accidental loss, destruction, or damage.


notifying consumers prior to requesting consent to share consumer personal data;
obtaining express consent of consumers prior to use or sharing of their data;
retaining all personal data, documents, records and files securely for a minimum of 5 years;
notifying the Central Bank of any material data breaches, losses, destruction or alteration when they occur.

Central Bank’s Stored Value Facilities Regulation
On 30 September 2020 the UAE Central Bank issued a new Stored Value Facilities Regulation (“SVF Regulation”), repealing and replacing the Regulatory Framework for Stored Values and Electronic Payment Systems it has issued in September 2016. While the SVF Regulation makes amendments to the licensing and enforcement regime for SVF (on onshore UAE only; it does not apply in, or affect, the DIFC and ADGM free zones), from a data protection perspective little has changed. The SVF Regulation applies to those providing Stored Value Facilities, which is now defined as:
 A facility (other than cash) for or in relation to which a Customer, or another person on the Customer's behalf, pays a sum of money (including Money's Worth such as values, reward points, Crypto-Assets or Virtual Assets) to the issuer, whether directly or indirectly, in exchange for: (a) the storage of the value of that money (including Money's Worth such as values, reward points, Crypto-Assets or Virtual Assets), whether in whole or in part, on the facility; and (b) the “Relevant Undertaking”. SVF includes Device-based Stored Value Facility and Non-device based Stored Value Facility.
Article 10 of the SVF Regulation requires that licensees providing SVF services (“SVFLicensee”) must have in place adequate policies, measures and procedures to protect its information and accounting systems, databases, books and accounts, and other records and documents from unauthorized access, unauthorized retrieval, tampering and misuse.
An SVF Licensee must also adequately protect customer data (including customer identification and transaction records) which are required to be stored and maintained in the UAE. Such data can only be made available to the corresponding customer, the Central Bank, other regulatory authorities following prior approval of the Central Bank, or by a UAE court order. An SVF Licensee must store and retain all customer and transaction data for a period of five years from the date of the creation of the customer data, or longer if required by other laws.
Article 8 of the SVF Regulation requires that outsourcing arrangements must also contain adequate data protection and data handling controls. 
Central Bank’s Retail Payment Services and Card Schemes Regulation
On 6 June 2021, the UAE Central Bank issued the Retail Payment Services and Card Schemes1 Regulation (“Retail Services Regulation”). The Retail Services Regulation outline obligations and controls for the provision of Retail Payment Services and Card Schemes.
A Retail Payment Service includes any of the following: Payment Account Issuance Services; Payment Instrument Issuance Services; Merchant Acquiring Services; Payment Aggregation Services; Domestic Fund Transfer Services; Cross-border Fund Transfer Services; Payment Token Services; Payment Initiation Services; and Payment Account Information Services. The Retail Services Regulation does not apply to Stored Value Facilities.
Article 10 of the Retail Services Regulation requires that Payment Service Providers must have in place adequate policies, measures and procedures in relation to corporate governance, risk management, accounting and audit, record keeping, notification requirements and professional indemnity insurance. Amongst other things, article 10 requires the maintenance of confidential information, and that Payment Service Providers keep all necessary records on Personal and Payment Data for a period of 5 years.
Payment Service Providers must also put in place measures to ensure all business records can be restored in case they are lost, and that Retail Payment Service Users can access their own records in a timely manner. Payment Service Providers are also obligated to notify users of any loss in their records, and make reasonable effort to ensure that personal records are not wrongfully used.
Article 14 covers obligations towards Retail Payment Service Users, including protection of payment and personal data. Payment Service Providers to put in place policies and procedures to protect payment data and personal data and that Payment Service Providers only disclose Payment and Personal Data under the conditions outlined in the article.
The Retail Services Regulation further requires that Payment Service Providers store and maintain personal and payment data within the UAE, and must establish a safe and secure backup of all Personal and Payment Data in a separate location for the required period of 5 years.
Article 18 of the Retail Services Regulation considers Card Schemes, and place obligations on Card Scheme’s to notify the Central Bank in the case of a Data Breach no later than 72 hours after having become aware of such Data Breach.
ICT in Health Fields Law and Regulations, and Federal Ministerial Decision No 51 of 2021 Cases Allowing the Storage and Transfer of Medical Data and Information Out of the State
On 6 February 2019 Federal Law No. 2 of 2019 on the Use of the Information and Communication Technology (“ICT”) in Health Fields (“ICT in Health Fields Law”) was issued.  The primary purpose of the ICT in Health Fields Law is to establish a central electronic system of medical records for use within the health industry within the UAE. 
Article 13 of the ICT in Health Fields Law states that the Health Information and data related to the health services provided in the UAE may not be stored, processed, generated or transferred outside the UAE, unless in the cases defined by virtue of a decision issued by the Health Authority of the relevant emirate in coordination with the Federal Ministry of Health.
The Minister of Health issued a decision on 28 April 2021 outlining the circumstances when Health Information can be transferred outside of the UAE.
The UAE ICT in Health Fields Law applies to all Competent Entities.
“Competent Entity” is defined as:

Any entity in the State providing medical services, health insurance or national health insurance services, brokerage services, claims management services or electronic services in the medical field of any entity related, whether directly or indirectly, to the implementation of the provisions hereof.

“Health Information” is defined as:
The health information that were processed and were given a visual, audible or readable indication, and that may be attributed to the health sector, whether related to the health or insurance facilities or entities or to the health services beneficiaries.
On 22 April 2020 the Federal Cabinet issued Cabinet Resolution No. 32 of 2020 concerning the Regulations Concerning the Use of the Information and Communications Technology in the Areas of Health (“ICT in Health Fields Regulations”). The regulations provide further details, including on permission controls to access and use the central system, and on the storage and exchange of information on the central system.  
Dubai Data Law
In December 2015 the Dubai Government published the Dubai Law No. 26 of 2015 on the Regulation of Data Dissemination and Exchange in the Emirate of Dubai, (""Dubai Data Law""). The purpose of the Dubai Data Law to collate and manage data that relates to the emirate of Dubai and, where appropriate, to publish it as “Open Data” or at least ensure that it is shared it between authorised persons. This law is considered unique as it is the only one in the world we are aware of that provides a government with the power to require designated private sector entities to provide to a government with information held by the company in relation to a city, for the purposes of making that information Open Data.

Footnotes
1. The Retail Services Regulation define Card Schemes as “a single set of rules, practices and standards that enable a holder of a Payment Instrument to effect the execution of Card-based Payment Transactions within the State which is separated from any infrastructure of payment system that supports its operation, and includes the Card Scheme Governing Body. For the avoidance of doubt, a Card Scheme may be operated by a private or Public Sector Entity”.

Last modified 27 January 2025



"
Data protection laws in Uganda,"
Data protection laws in Uganda


Generally, a person’s right to informational privacy is protected under Article 27 of the Constitution of the Republic of Uganda. The protection under the Constitution is supplemented by the Data Protection and Privacy Act, 2019 and the Data Protection and Privacy Regulations, 2021, which regulate the collection, processing, use, storage, and disclosure of personal data. The Act and Regulations apply to any person, entity or public body:

collecting, processing, holding or using personal data within Uganda;
outside Uganda who is collecting, processing, holding or using personal data of Ugandan citizens.

The Data Protection and Privacy Act commenced on 3 May 2019 while the Regulations took effect on 12 March 2021.
There are also other sector specific laws that incorporate data protection provisions applicable to the activities governed under those laws. These laws include, but are not limited to:

The Access to Information Act, 2005;
The Regulation of Interception of Communications Act, 2010 and Regulations, 2023;
The Computer Misuse Act, 2011 (as amended); and
The Registration of Persons Act, 2015.

Last modified 27 January 2025



"
Data protection laws in Ukraine,"
Data protection laws in Ukraine


The Law of Ukraine No. 2297 VI ""On Personal Data Protection"" as of June 1, 2010 (Data Protection Law) is the main legislative act regulating personal data protection in Ukraine. On December 20, 2012, the Data Protection Law was substantially amended by the Law of Ukraine, ""On introducing amendments to the Law of Ukraine"" ""On Personal Data Protection"" dated November 20, 2012, No. 5491-VI. Additional significant changes to Data Protection Law were introduced by the Law of Ukraine ""On Amendments to Certain Laws of Ukraine regarding Improvement of Personal Data Protection System"" dated July 3, 2013, No. 383-VII which came into force on January 1, 2014.
In addition to the Data Protection Law, certain data protection issues are regulated by subordinate legislation specifically developed to implement the Data Protection Law, in particular:

Procedure of notification of the Ukrainian Parliament's Commissioner for Human Rights on the processing of personal data, which is of particular risk to the rights and freedoms of personal data subjects, on the structural unit or responsible person that organizes the work related to protection of personal data during processing thereof (Notification Procedure);
Model Procedure of processing of personal data (Model Procedure);
Procedure of control by the Ukrainian Parliament's Commissioner for Human Rights over the adherence of personal data protection legislation.

The Data Protection Law essentially complies with EU Data Protection Directive 95/46/EC.
The Convention for the Protection of Individuals with regard to Automatic Processing of Personal Data, executed in Strasbourg on January 28, 1981 and the Additional Protocol to the Convention regarding supervisory authorities and trans-border data flows, executed in Strasbourg on November 8, 2001 were ratified by the Ukrainian Parliament on July 6, 2010 (Convention on Automatic Processing of Personal Data) and have become fully effective in Ukraine.
In addition, data protection is regulated by:

The Constitution of Ukraine dated June 28, 1996;
The Civil Code of Ukraine dated January 16, 2003, No 435 IV;
Law of Ukraine ""On Information"" No 2657 XII, dated October 2, 1992;
Law of Ukraine ""On Protection of Information in the Information and Telecommunication Systems"" dated July 5, 1994 No. 80/94 VR;
Law of Ukraine ""On Electronic Commerce"" dated September 3, 2015, No 675-VIII; and
Some other legislative acts.

Furthermore, on October 25, 2022 the new Draft Law “On Personal Data Protection” No. 8153 has been submitted to Ukrainian Parliament. The said draft law is aimed at harmonizing Ukrainian data protection legislation with the standards enshrined by the GDPR and Convention 108+. The draft law was adopted as a basis on November, 20 2024 and currently is being prepared for consideration in the second reading by Ukrainian Parliament.
Last modified 27 January 2025



"
Data protection laws in the United Kingdom,"
Data protection laws in the United Kingdom


Following the UK’s exit from the European Union, the UK Government has transposed the General Data Protection Regulation (Regulation (EU) 2016/679) into UK national law (thereby creating the UK GDP”). In so doing, the UK has made a number of technical changes to the GDPR in order account for its status as a national law of the United Kingdom (e.g. to change references to “Member State” to “the United Kingdom”). These changes were made under the Data Protection, Privacy and Electronic Communications (Amendments etc) (EU Exit) Regulations 2019. 

At this time, all material obligations on controller and processors essentially remain the same under the UK GDPR as under the ‘EU GDPR’. 

The Data Protection Act 2018 (DPA) remains in place as a national data protection law, and supplements the UK GDPR regime.  It deals with matters that were previously permitted derogations and exemptions from the EU GDPR (for example, substantial public interest bases for the processing of special category data, and context-specific exemptions from parts of the GDPR such as data subject rights). 
In addition,

Part 3 of the DPA transposes the Law Enforcement Directive ((EU) 2016/680) into UK law, creating a data protection regime specifically for law enforcement personal data processing;
Part 4 of the DPA updates the data protection regime for national security processing; and
Parts 5 and 6 set out the scope of the Information Commissioner's mandate and her enforcement powers, and creates a number of criminal offences relating to personal data processing.

In October 2024, the government has proposed reforms to data protection and e-privacy laws through the new Data (Use and Access) Bill (DUAB). The DUAB follows the previous government’s unsuccessful attempts to reform these laws post-Brexit, which led to the abandonment of the Data Protection and Digital Information (No.2) Bill (DPDI Bill), in the run-up to the general election.
The Bill proposes very limited changes to the UK data protection regime. These are targeted and incremental and unlikely to have a material impact on day-to-day compliance for most businesses operating in the UK. Data protection is no longer the main focus of the Bill, with large sections of the Bill set aside to deal with wider digital policy matters, including smart data schemes and certification for digital identity service providers.
The Bill will be debated in the first months of 2025, and will likely be enacted through the course of the year.
Territorial Scope
The application of the UK GDPR turns principally on whether an organization is established in the United Kingdom.  As under the EU GDPR, an 'establishment' may take a wide variety of forms, and is not limited to a company registered in the United Kingdom.
The UK GDPR also has extra-territorial effect, following the same principles as set out in the EU GDPR. As a result, an organisation that it is not established within the United Kingdom will be subject to the UK GDPR if it processes personal data of data subjects who are in the United Kingdom  where the processing activities are related ""to the offering of goods or services"" (Article 3(2)(a)) to such data subjects in the United Kingdom or ""the monitoring of their behaviour"" (Article 3(2)(b)) as far as their behaviour takes place within the United Kingdom.
Last modified 6 February 2025



"
